Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions","ARIMA_50.0_(1, 0, 0)_Predictions",LSTM_80.0_Predictions
2/16/2020,53.38,52.02,52.27,
2/23/2020,44.76,53.35,53.58,
3/1/2020,41.28,44.72,45.04,
3/8/2020,31.73,41.23,41.58,
3/15/2020,22.43,31.67,32.09,
3/22/2020,21.51,22.36,22.83,
3/29/2020,28.34,21.43,21.91,
4/5/2020,22.76,28.27,28.72,
4/12/2020,18.27,22.69,23.15,
4/19/2020,16.94,18.19,18.67,
4/26/2020,19.78,16.86,17.34,
5/3/2020,24.74,19.7,20.17,
5/10/2020,29.43,24.67,25.12,
5/17/2020,33.25,29.37,29.79,
5/24/2020,35.49,33.19,33.59,
5/31/2020,39.55,35.44,35.82,
6/7/2020,36.26,39.5,39.85,
6/14/2020,39.75,36.21,36.58,
6/21/2020,38.49,39.7,40.05,
6/28/2020,40.65,38.44,38.8,
7/5/2020,40.55,40.6,40.94,
7/12/2020,40.59,40.5,40.84,
7/19/2020,41.29,40.54,40.88,
7/26/2020,40.27,41.25,41.57,
8/2/2020,41.22,40.22,40.56,
8/9/2020,42.01,41.18,41.5,
8/16/2020,42.34,41.97,42.29,
8/23/2020,42.97,42.3,42.61,
8/30/2020,39.77,42.93,43.24,
9/6/2020,37.33,39.72,40.06,
9/13/2020,41.11,37.28,37.63,
9/20/2020,40.25,41.07,41.39,
9/27/2020,37.05,40.2,40.53,
10/4/2020,40.6,37,37.35,
10/11/2020,40.88,40.56,40.88,
10/18/2020,39.85,40.84,41.16,
10/25/2020,35.79,39.8,40.13,
11/1/2020,37.14,35.74,36.1,
11/8/2020,40.13,37.09,37.44,
11/15/2020,42.15,40.08,40.41,
11/22/2020,45.53,42.11,42.41,
11/29/2020,46.26,45.49,45.77,
12/6/2020,46.57,46.22,46.49,
12/13/2020,49.1,46.53,46.8,
12/20/2020,48.23,49.07,49.31,
12/27/2020,48.52,48.2,48.45,
1/3/2021,52.24,48.49,48.73,
1/10/2021,52.36,52.21,52.42,
1/17/2021,52.27,52.33,52.54,
1/24/2021,52.2,52.24,52.45,51.98
1/31/2021,56.85,52.17,52.38,51.92
2/7/2021,59.47,56.83,56.99,56.49
2/14/2021,59.24,59.45,59.59,59.07
2/21/2021,61.5,59.22,59.36,58.87
2/28/2021,66.09,61.49,61.6,61.34
3/7/2021,65.61,66.08,66.14,66.28
3/14/2021,61.42,65.6,65.67,65.2
3/21/2021,60.97,61.41,61.52,61.03
3/28/2021,61.45,60.96,61.07,60.79
4/4/2021,59.32,61.44,61.55,61.22
4/11/2021,63.13,59.3,59.44,59
4/18/2021,62.14,63.12,63.21,63.2
4/25/2021,63.58,62.13,62.23,61.73
5/2/2021,64.9,63.57,63.66,63.48
5/9/2021,65.37,64.89,64.96,64.75
5/16/2021,63.58,65.36,65.43,65.16
5/23/2021,66.32,63.57,63.66,63.22
5/30/2021,69.62,66.31,66.37,66.47
6/6/2021,70.91,69.62,69.64,69.82
6/13/2021,71.64,70.91,70.91,70.81
6/20/2021,74.05,71.64,71.64,71.54
6/27/2021,75.16,74.05,74.02,74.32
7/4/2021,74.56,75.17,75.12,75.15
7/11/2021,71.81,74.56,74.53,74.29
7/18/2021,72.07,71.81,71.81,71.28
7/25/2021,73.95,72.07,72.06,72.03
8/1/2021,68.28,73.95,73.92,74.13
8/8/2021,68.44,68.28,68.31,67.51
8/15/2021,62.32,68.44,68.47,68.44
8/22/2021,68.74,62.31,62.41,61.81
8/29/2021,69.29,68.74,68.77,69.7
9/5/2021,69.72,69.29,69.31,68.94
9/12/2021,71.97,69.72,69.74,69.58
9/19/2021,73.98,71.97,71.96,72.17
9/26/2021,75.88,73.98,73.95,74.11
10/3/2021,79.35,75.89,75.83,76.05
10/10/2021,82.28,79.36,79.27,79.99
10/17/2021,83.76,82.29,82.17,82.87
10/24/2021,83.57,83.78,83.64,84.13
10/31/2021,81.27,83.59,83.45,83.67
11/7/2021,80.79,81.28,81.17,81
11/14/2021,76.1,80.8,80.7,80.8
11/21/2021,68.15,76.11,76.05,75.43
11/28/2021,66.26,68.15,68.18,67.39
12/5/2021,71.67,66.25,66.31,66.07
12/12/2021,70.86,71.67,71.67,72.56
12/19/2021,73.79,70.86,70.87,70.39
12/26/2021,75.21,73.79,73.77,74.22
1/2/2022,78.9,75.21,75.17,75.23
1/9/2022,83.82,78.91,78.82,79.6
1/16/2022,85.14,83.84,83.7,84.98
1/23/2022,86.82,85.16,85,85.48
1/30/2022,92.31,86.84,86.67,87.4
2/6/2022,93.1,92.34,92.11,93.96
2/13/2022,91.07,93.13,92.89,93.4
2/20/2022,91.59,91.1,90.88,91.02
2/27/2022,115.68,91.62,91.39,92.05
3/6/2022,109.33,115.74,115.29,121.07
3/13/2022,104.7,109.38,108.98,109.68
3/20/2022,113.9,104.74,104.38,104.23
3/27/2022,99.27,113.96,113.52,114.7
4/3/2022,98.26,99.31,98.99,99.14
4/10/2022,106.95,98.3,97.99,98.27
4/17/2022,102.07,107,106.6,108.28
4/24/2022,104.69,102.11,101.76,101.54
5/1/2022,109.77,104.73,104.36,104.81
5/8/2022,110.49,109.82,109.4,109.98
5/15/2022,113.23,110.54,110.12,110.41
5/22/2022,115.07,113.28,112.84,113.37
5/29/2022,118.87,115.13,114.67,115.43
6/5/2022,120.67,118.93,118.46,119.66
6/12/2022,109.56,120.73,120.25,121.87
6/19/2022,107.62,109.61,109.2,110.19
6/26/2022,108.43,107.67,107.27,107.29
